image_id,label
0.jpg,77
1.jpg,81
2.jpg,52
3.jpg,72
4.jpg,58
5.jpg,2
6.jpg,75
7.jpg,67
8.jpg,51
9.jpg,15
10.jpg,77
11.jpg,15
12.jpg,75
13.jpg,52
14.jpg,58
15.jpg,9
16.jpg,77
17.jpg,81
18.jpg,86
19.jpg,2
20.jpg,97
21.jpg,39
22.jpg,51
23.jpg,4
24.jpg,65
25.jpg,4
26.jpg,75
27.jpg,65
28.jpg,51
29.jpg,9
30.jpg,97
31.jpg,86
32.jpg,2
33.jpg,100
34.jpg,63
35.jpg,100
36.jpg,100
37.jpg,51
38.jpg,58
39.jpg,56
40.jpg,72
41.jpg,77
42.jpg,77
43.jpg,56
44.jpg,72
45.jpg,77
46.jpg,51
47.jpg,19
48.jpg,57
49.jpg,41
50.jpg,12
51.jpg,25
52.jpg,95
53.jpg,60
54.jpg,87
55.jpg,19
56.jpg,60
57.jpg,47
58.jpg,54
59.jpg,82
60.jpg,62
61.jpg,95
62.jpg,70
63.jpg,12
64.jpg,70
65.jpg,95
66.jpg,82
67.jpg,62
68.jpg,57
69.jpg,47
70.jpg,54
71.jpg,47
72.jpg,83
73.jpg,51
74.jpg,51
75.jpg,83
76.jpg,73
77.jpg,37
78.jpg,73
79.jpg,87
80.jpg,37
81.jpg,73
82.jpg,74
83.jpg,24
84.jpg,74
85.jpg,73
86.jpg,24
87.jpg,37
88.jpg,51
89.jpg,20
90.jpg,87
91.jpg,85
92.jpg,37
93.jpg,73
94.jpg,87
95.jpg,41
96.jpg,11
97.jpg,40
98.jpg,76
99.jpg,46
100.jpg,1
101.jpg,76
102.jpg,41
103.jpg,40
104.jpg,102
105.jpg,69
106.jpg,11
107.jpg,83
108.jpg,46
109.jpg,35
110.jpg,94
111.jpg,72
112.jpg,28
113.jpg,29
114.jpg,72
115.jpg,76
116.jpg,28
117.jpg,46
118.jpg,35
119.jpg,94
120.jpg,102
121.jpg,83
122.jpg,93
123.jpg,11
124.jpg,77
125.jpg,37
126.jpg,37
127.jpg,35
128.jpg,85
129.jpg,77
130.jpg,83
131.jpg,78
132.jpg,85
133.jpg,41
134.jpg,34
135.jpg,95
136.jpg,21
137.jpg,88
138.jpg,34
139.jpg,88
140.jpg,70
141.jpg,83
142.jpg,77
143.jpg,58
144.jpg,36
145.jpg,49
146.jpg,44
147.jpg,10
148.jpg,80
149.jpg,59
150.jpg,58
151.jpg,23
152.jpg,36
153.jpg,81
154.jpg,50
155.jpg,59
156.jpg,23
157.jpg,96
158.jpg,74
159.jpg,50
160.jpg,44
161.jpg,90
162.jpg,8
163.jpg,80
164.jpg,42
165.jpg,8
166.jpg,42
167.jpg,44
168.jpg,96
169.jpg,74
170.jpg,59
171.jpg,23
172.jpg,86
173.jpg,99
174.jpg,63
175.jpg,89
176.jpg,99
177.jpg,89
178.jpg,59
179.jpg,23
180.jpg,44
181.jpg,68
182.jpg,36
183.jpg,99
184.jpg,89
185.jpg,96
186.jpg,68
187.jpg,96
188.jpg,89
189.jpg,99
190.jpg,36
191.jpg,59
192.jpg,89
193.jpg,23
194.jpg,68
195.jpg,99
196.jpg,89
197.jpg,46
198.jpg,99
199.jpg,86
200.jpg,63
201.jpg,44
202.jpg,42
203.jpg,8
204.jpg,23
205.jpg,59
206.jpg,74
207.jpg,96
208.jpg,50
209.jpg,74
210.jpg,96
211.jpg,23
212.jpg,59
213.jpg,42
214.jpg,80
215.jpg,8
216.jpg,90
217.jpg,44
218.jpg,80
219.jpg,10
220.jpg,44
221.jpg,50
222.jpg,81
223.jpg,36
224.jpg,23
225.jpg,58
226.jpg,59
227.jpg,36
228.jpg,58
229.jpg,49
230.jpg,70
231.jpg,88
232.jpg,34
233.jpg,77
234.jpg,83
235.jpg,41
236.jpg,85
237.jpg,78
238.jpg,83
239.jpg,77
240.jpg,88
241.jpg,21
242.jpg,34
243.jpg,35
244.jpg,37
245.jpg,85
246.jpg,77
247.jpg,37
248.jpg,94
249.jpg,35
250.jpg,46
251.jpg,28
252.jpg,76
253.jpg,72
254.jpg,29
255.jpg,11
256.jpg,93
257.jpg,83
258.jpg,102
259.jpg,83
260.jpg,11
261.jpg,28
262.jpg,72
263.jpg,94
264.jpg,35
265.jpg,46
266.jpg,76
267.jpg,1
268.jpg,69
269.jpg,102
270.jpg,40
271.jpg,41
272.jpg,40
273.jpg,11
274.jpg,41
275.jpg,87
276.jpg,46
277.jpg,76
278.jpg,51
279.jpg,37
280.jpg,24
281.jpg,73
282.jpg,74
283.jpg,73
284.jpg,37
285.jpg,85
286.jpg,87
287.jpg,20
288.jpg,87
289.jpg,73
290.jpg,37
291.jpg,24
292.jpg,74
293.jpg,73
294.jpg,37
295.jpg,51
296.jpg,73
297.jpg,83
298.jpg,83
299.jpg,47
300.jpg,51
301.jpg,95
302.jpg,70
303.jpg,54
304.jpg,47
305.jpg,57
306.jpg,62
307.jpg,82
308.jpg,62
309.jpg,82
310.jpg,54
311.jpg,47
312.jpg,60
313.jpg,12
314.jpg,70
315.jpg,95
316.jpg,76
317.jpg,95
318.jpg,19
319.jpg,87
320.jpg,60
321.jpg,41
322.jpg,57
323.jpg,19
324.jpg,25
325.jpg,12
326.jpg,77
327.jpg,51
328.jpg,77
329.jpg,72
330.jpg,56
331.jpg,72
332.jpg,56
333.jpg,58
334.jpg,51
335.jpg,100
336.jpg,77
337.jpg,63
338.jpg,100
339.jpg,100
340.jpg,63
341.jpg,51
342.jpg,65
343.jpg,75
344.jpg,4
345.jpg,2
346.jpg,86
347.jpg,97
348.jpg,9
349.jpg,97
350.jpg,2
351.jpg,86
352.jpg,65
353.jpg,4
354.jpg,51
355.jpg,75
356.jpg,15
357.jpg,77
358.jpg,81
359.jpg,9
360.jpg,77
361.jpg,58
362.jpg,52
363.jpg,2
364.jpg,58
365.jpg,72
366.jpg,52
367.jpg,81
368.jpg,77
369.jpg,15
370.jpg,51
371.jpg,67
372.jpg,75
373.jpg,52
374.jpg,58
375.jpg,77
376.jpg,9
377.jpg,51
378.jpg,97
379.jpg,81
380.jpg,15
381.jpg,4
382.jpg,75
383.jpg,65
384.jpg,75
385.jpg,15
386.jpg,52
387.jpg,97
388.jpg,86
389.jpg,2
390.jpg,4
391.jpg,65
392.jpg,51
393.jpg,51
394.jpg,15
395.jpg,4
396.jpg,63
397.jpg,65
398.jpg,52
399.jpg,86
400.jpg,2
401.jpg,97
402.jpg,100
403.jpg,63
404.jpg,77
405.jpg,63
406.jpg,100
407.jpg,56
408.jpg,72
409.jpg,51
410.jpg,77
411.jpg,40
412.jpg,77
413.jpg,67
414.jpg,51
415.jpg,56
416.jpg,72
417.jpg,55
418.jpg,19
419.jpg,73
420.jpg,76
421.jpg,70
422.jpg,37
423.jpg,12
424.jpg,25
425.jpg,19
426.jpg,41
427.jpg,82
428.jpg,57
429.jpg,62
430.jpg,55
431.jpg,47
432.jpg,54
433.jpg,51
434.jpg,70
435.jpg,95
436.jpg,3
437.jpg,95
438.jpg,70
439.jpg,60
440.jpg,47
441.jpg,54
442.jpg,82
443.jpg,62
444.jpg,83
445.jpg,51
446.jpg,73
447.jpg,51
448.jpg,83
449.jpg,20
450.jpg,87
451.jpg,37
452.jpg,73
453.jpg,74
454.jpg,73
455.jpg,24
456.jpg,37
457.jpg,37
458.jpg,76
459.jpg,73
460.jpg,74
461.jpg,24
462.jpg,37
463.jpg,73
464.jpg,87
465.jpg,41
466.jpg,40
467.jpg,83
468.jpg,69
469.jpg,1
470.jpg,72
471.jpg,76
472.jpg,28
473.jpg,76
474.jpg,41
475.jpg,40
476.jpg,102
477.jpg,83
478.jpg,11
479.jpg,72
480.jpg,28
481.jpg,46
482.jpg,35
483.jpg,94
484.jpg,1
485.jpg,46
486.jpg,35
487.jpg,94
488.jpg,72
489.jpg,28
